Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Category
2001,235316,Gonzaga University,377800,1,Main Campus,4874,0,0,0,0,0,0,0,0,0,0,0,1,0,Public property criminal offenses
2001,236595,Seattle University,379000,1,Main Campus,5981,0,0,2,0,0,0,0,0,0,0,0,4,0,Public property criminal offenses
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2001,236939,Washington State University,380000,1,Pullman Campus,21073,0,0,0,0,0,0,0,0,0,1,0,1,0,Public property criminal offenses
2001,237011,Western Washington University,380200,1,Bellingham Campus,12409,0,0,0,0,0,0,0,0,0,0,1,1,0,Public property criminal offenses
2001,237057,Whitman College,380300,1,Whitman College,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2002,235316,Gonzaga University,377800,1,Main Campus,5254,0,0,0,0,0,0,0,0,0,0,0,1,1,Public property criminal offenses
2002,236595,Seattle University,379000,1,Main Campus,6270,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2002,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39882,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2002,236939,Washington State University,380000,1,Pullman Campus,21880,0,0,0,0,0,0,0,0,1,2,0,1,0,Public property criminal offenses
2002,237011,Western Washington University,380200,1,Bellingham Campus,13865,0,0,0,0,0,0,0,0,0,0,1,1,0,Public property criminal offenses
2002,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2003,235316,Gonzaga University,377800,1,Main Campus,5494,0,0,0,0,0,0,0,0,1,0,0,2,0,Public property criminal offenses
2003,236595,Seattle University,379000,1,Main Campus,6659,0,0,1,0,0,0,0,0,0,0,0,3,0,Public property criminal offenses
2003,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39135,0,0,1,0,0,0,0,0,2,2,0,0,4,Public property criminal offenses
2003,236939,Washington State University,380000,1,Pullman Campus,22712,0,0,2,0,0,0,0,0,1,3,0,1,0,Public property criminal offenses
2003,237011,Western Washington University,380200,1,Bellingham Campus,13845,0,0,0,0,0,0,0,0,0,0,0,0,1,Public property criminal offenses
2003,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2004,235316,Gonzaga University,377800,1,Main Campus,5858,0,0,0,0,0,0,0,0,0,0,0,3,0,Public property criminal offenses
2004,236595,Seattle University,379000,1,Main Campus,6810,0,0,0,0,0,0,0,0,1,0,0,1,0,Public property criminal offenses
2004,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39199,0,0,0,0,0,0,0,0,4,1,2,2,1,Public property criminal offenses
2004,236939,Washington State University,380000,1,Pullman Campus,23241,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2004,237011,Western Washington University,380200,1,Bellingham Campus,14190,0,0,1,0,0,0,0,0,1,0,3,1,0,Public property criminal offenses
2004,237057,Whitman College,380300,1,Whitman College,1481,0,0,2,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2005,235316,Gonzaga University,377800,1,Main Campus,6377,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2005,236595,Seattle University,379000,1,Main Campus,7109,0,0,0,0,0,0,0,0,1,0,0,2,0,Public property criminal offenses
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,0,0,0,0,0,0,0,1,1,0,0,1,Public property criminal offenses
2005,236939,Washington State University,380000,1,Pullman Campus,23544,0,0,0,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,0,0,0,0,0,0,0,0,3,3,0,0,0,Public property criminal offenses
2005,237057,Whitman College,380300,1,Whitman College,1512,0,0,0,0,0,0,0,0,0,4,4,0,0,Public property criminal offenses
2006,235316,Gonzaga University,377800,1,Main Campus,6607,0,0,2,0,0,0,0,0,0,0,0,3,0,Public property criminal offenses
2006,236595,Seattle University,379000,1,Main Campus,7226,1,0,0,0,0,0,0,0,2,1,0,1,0,Public property criminal offenses
2006,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39524,0,0,1,0,0,0,0,0,0,1,0,0,1,Public property criminal offenses
2006,236939,Washington State University,380000,1,Pullman Campus,23655,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2006,237011,Western Washington University,380200,1,Bellingham Campus,14035,0,0,0,0,0,0,0,0,0,0,0,5,0,Public property criminal offenses
2006,237057,Whitman College,380300,1,Whitman College,1455,0,0,0,0,0,0,0,0,0,3,0,0,0,Public property criminal offenses
2007,235316,Gonzaga University,377800,1,Main Campus,6873,0,0,0,0,0,0,0,0,0,3,0,7,0,Public property criminal offenses
2007,236595,Seattle University,379000,1,Main Campus,7529,1,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2007,236948,University of Washington-Seattle Campus,379800,1,Main Campus,40218,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2007,236939,Washington State University,380000,1,Pullman Campus,24396,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2007,237011,Western Washington University,380200,1,Bellingham Campus,14276,0,0,0,0,0,0,0,0,1,1,0,1,0,Public property criminal offenses
2007,237057,Whitman College,380300,1,Whitman College,1489,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2008,235316,Gonzaga University,377800,1,Main Campus,7272,0,0,1,0,0,0,0,0,0,0,0,2,0,Public property criminal offenses
2008,236595,Seattle University,379000,1,Main Campus,7560,0,0,0,0,0,0,0,0,1,0,0,2,0,Public property criminal offenses
2008,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39675,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2008,236939,Washington State University,380000,1,Pullman Campus,25352,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2008,237011,Western Washington University,380200,1,Bellingham Campus,14620,0,0,0,0,0,0,0,0,0,2,0,1,0,Public property criminal offenses
2008,237057,Whitman College,380300,1,Whitman College,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2009,235316,Gonzaga University,377800,1,Main Campus,7633,0,0,0,0,0,0,0,0,0,0,0,4,0,Public property criminal offenses
2009,236595,Seattle University,379000,1,Main Campus,7751,0,0,0,0,0,0,0,0,0,1,0,2,0,Public property criminal offenses
2009,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45943,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2009,236939,Washington State University,380000,1,Pullman Campus,26101,0,0,0,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2009,237011,Western Washington University,380200,1,Bellingham Campus,14575,0,0,0,0,0,0,0,0,2,0,0,3,0,Public property criminal offenses
2009,237057,Whitman College,380300,1,Whitman College,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2010,235316,Gonzaga University,377800,1,Main Campus,7738,0,0,0,0,0,0,0,0,1,1,0,2,0,Public property criminal offenses
2010,236595,Seattle University,379000,1,Main Campus,7817,0,0,0,0,0,0,0,0,0,2,0,0,0,Public property criminal offenses
2010,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42451,0,0,0,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2010,236939,Washington State University,380000,1,Pullman Campus,26308,0,0,0,0,0,0,0,0,1,1,0,0,0,Public property criminal offenses
2010,237011,Western Washington University,380200,1,Bellingham Campus,14979,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2010,237057,Whitman College,380300,1,Whitman College,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2011,235316,Gonzaga University,377800,1,Main Campus,7764,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2011,236595,Seattle University,379000,1,Main Campus,7755,0,0,2,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2011,236948,University of Washington-Seattle Campus,379800,1,Main Campus,42444,0,0,0,0,0,0,0,0,1,0,0,1,0,Public property criminal offenses
2011,236939,Washington State University,380000,1,Pullman Campus,27329,0,0,0,0,0,0,0,0,0,0,0,0,1,Public property criminal offenses
2011,237011,Western Washington University,380200,1,Bellingham Campus,14842,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2011,237057,Whitman College,380300,1,Whitman College,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2012,235316,Gonzaga University,377800,1,Main Campus,7781,0,0,0,0,0,0,0,0,2,4,0,4,0,Public property criminal offenses
2012,236595,Seattle University,379000,1,Main Campus,7484,0,0,0,0,0,0,0,0,6,4,0,6,0,Public property criminal offenses
2012,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43485,0,0,1,0,0,0,0,0,2,0,0,1,1,Public property criminal offenses
2012,236939,Washington State University,380000,1,Pullman Campus,27679,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2012,237011,Western Washington University,380200,1,Bellingham Campus,14833,0,0,1,0,0,0,0,0,0,2,0,0,0,Public property criminal offenses
2012,237057,Whitman College,380300,1,Whitman College,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2013,235316,Gonzaga University,377800,1,Main Campus,7605,0,0,0,0,0,0,0,0,2,2,0,5,0,Public property criminal offenses
2013,236595,Seattle University,379000,1,Main Campus,7422,0,0,0,0,0,0,0,0,6,5,0,12,0,Public property criminal offenses
2013,236948,University of Washington-Seattle Campus,379800,1,Main Campus,43762,0,0,0,0,0,0,0,0,0,6,0,0,0,Public property criminal offenses
2013,236939,Washington State University,380000,1,Pullman Campus,27642,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2013,237011,Western Washington University,380200,1,Bellingham Campus,14950,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2013,237057,Whitman College,380300,1,Whitman College,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2014,235316,Gonzaga University,377800,1,Main Campus,7352,0,0,0,1,0,0,0,0,0,0,0,14,0,Public property criminal offenses
2014,236595,Seattle University,379000,1,Main Campus,7273,0,0,0,0,0,0,0,0,7,6,0,7,0,Public property criminal offenses
2014,236948,University of Washington-Seattle Campus,379800,1,Main Campus,44784,0,0,0,1,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2014,236939,Washington State University,380000,1,Pullman Campus,28686,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2014,237011,Western Washington University,380200,1,Bellingham Campus,15060,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2014,237057,Whitman College,380300,1,Whitman College,1498,0,0,0,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2015,235316,Gonzaga University,377800,1,Main Campus,7491,0,0,0,0,0,0,0,0,0,0,0,6,0,Public property criminal offenses
2015,236595,Seattle University,379000,1,Main Campus,7405,0,0,0,0,0,0,0,0,4,2,0,11,0,Public property criminal offenses
2015,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45408,0,0,0,0,2,0,0,0,0,0,0,0,0,Public property criminal offenses
2015,236939,Washington State University,380000,1,Pullman Campus,29686,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2015,237011,Western Washington University,380200,1,Bellingham Campus,15332,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2015,237057,Whitman College,380300,1,Whitman College,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2016,235316,Gonzaga University,377800,1,Main Campus,7567,0,0,0,0,1,0,0,0,1,0,0,5,0,Public property criminal offenses
2016,236595,Seattle University,379000,1,Main Campus,7487,0,0,0,0,11,0,0,0,4,6,0,5,1,Public property criminal offenses
2016,236595,Seattle University,379000,2,Eastside Campus,7487,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2016,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45591,0,0,0,0,1,0,0,0,1,0,0,0,0,Public property criminal offenses
2016,236939,Washington State University,380000,1,Pullman Campus,30142,0,0,0,5,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2016,237011,Western Washington University,380200,1,Bellingham Campus,15574,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2016,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2017,235316,Gonzaga University,377800,1,Main Campus,7506,0,0,0,0,2,0,0,0,0,2,0,5,1,Public property criminal offenses
2017,236595,Seattle University,379000,1,Main Campus,7278,0,0,0,0,0,0,0,0,2,6,0,8,0,Public property criminal offenses
2017,236595,Seattle University,379000,2,Eastside Campus,7278,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2017,236948,University of Washington-Seattle Campus,379800,1,Main Campus,46166,0,0,0,1,0,0,0,0,3,0,0,0,1,Public property criminal offenses
2017,236939,Washington State University,380000,1,Pullman Campus,30614,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2017,237011,Western Washington University,380200,1,Bellingham Campus,15915,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2017,237057,Whitman College,380300,1,Whitman College,1510,0,0,0,0,1,0,0,0,0,0,0,0,0,Public property criminal offenses
2018,235316,Gonzaga University,377800,1,Main Campus,7563,0,0,0,0,2,0,0,0,1,0,0,2,0,Public property criminal offenses
2018,236595,Seattle University,379000,1,Main Campus,7291,0,0,0,0,1,0,0,0,1,2,0,2,0,Public property criminal offenses
2018,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47400,0,0,0,2,1,0,0,0,0,0,0,0,0,Public property criminal offenses
2018,236939,Washington State University,380000,1,Pullman Campus,31478,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2018,237011,Western Washington University,380200,1,Bellingham Campus,16121,0,0,0,1,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2018,237057,Whitman College,380300,1,Whitman College,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2019,235316,Gonzaga University,377800,1,Main Campus,7537,0,0,0,0,0,0,0,0,1,1,0,1,0,Public property criminal offenses
2019,236595,Seattle University,379000,1,Main Campus,7199,0,0,0,0,1,0,0,0,3,3,0,9,0,Public property criminal offenses
2019,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47576,0,0,0,0,0,0,0,0,0,0,0,0,1,Public property criminal offenses
2019,236939,Washington State University,380000,1,Pullman Campus,31607,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2019,237011,Western Washington University,380200,1,Bellingham Campus,16142,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2019,237057,Whitman College,380300,1,Whitman College,1579,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2020,235316,Gonzaga University,377800,1,Main Campus,7295,0,0,0,0,0,0,0,0,0,2,0,2,0,Public property criminal offenses
2020,236595,Seattle University,379000,1,Main Campus,7050,0,0,0,0,0,0,0,0,0,0,0,10,0,Public property criminal offenses
2020,236948,University of Washington-Seattle Campus,379800,1,Main Campus,48149,0,0,0,0,0,0,0,0,1,0,0,0,0,Public property criminal offenses
2020,236939,Washington State University,380000,1,Pullman Campus,31159,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2020,237057,Whitman College,380300,1,Whitman College,1360,0,0,0,0,0,0,0,0,0,1,0,0,0,Public property criminal offenses
2021,235316,Gonzaga University,377800,1,Main Campus,7381,0,0,0,0,0,0,0,0,0,0,0,2,2,Public property criminal offenses
2021,236595,Seattle University,379000,1,Main Campus,7268,0,0,0,0,1,0,0,0,3,1,0,2,1,Public property criminal offenses
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,0,0,0,0,2,0,0,0,0,0,0,1,0,Public property criminal offenses
2021,236939,Washington State University,380000,1,Pullman Campus,29843,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,0,0,0,0,0,0,0,0,0,0,0,1,0,Public property criminal offenses
2021,237057,Whitman College,380300,1,Whitman College,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,0,0,0,0,0,0,0,1,1,0,0,0,Public property criminal offenses
2022,236595,Seattle University,379000,1,Main Campus,7121,0,0,0,0,0,0,0,0,4,5,0,10,0,Public property criminal offenses
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,0,0,0,0,1,0,0,0,0,6,0,0,1,Public property criminal offenses
2022,236939,Washington State University,380000,1,Pullman Campus,27539,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2022,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,Public property criminal offenses
2001,235316,Gonzaga University,377800,1,Main Campus,4874,0,0,0,0,0,0,0,0,0,0,1,1,0,Off-campus criminal offense
2001,236595,Seattle University,379000,1,Main Campus,5981,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2001,236939,Washington State University,380000,1,Pullman Campus,21073,0,0,1,0,0,0,0,0,0,0,6,1,0,Off-campus criminal offense
2001,237011,Western Washington University,380200,1,Bellingham Campus,12409,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2001,237057,Whitman College,380300,1,Whitman College,1439,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2002,235316,Gonzaga University,377800,1,Main Campus,5254,0,0,1,0,0,0,0,0,0,1,1,2,0,Off-campus criminal offense
2002,236939,Washington State University,380000,1,Pullman Campus,21880,0,0,2,0,0,0,0,0,0,4,23,1,0,Off-campus criminal offense
2002,237011,Western Washington University,380200,1,Bellingham Campus,13865,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2002,237057,Whitman College,380300,1,Whitman College,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2003,235316,Gonzaga University,377800,1,Main Campus,5494,0,0,0,0,0,0,0,0,0,0,2,0,0,Off-campus criminal offense
2003,236595,Seattle University,379000,1,Main Campus,6659,0,0,0,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
2003,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39135,0,0,1,0,0,0,0,0,4,10,57,3,5,Off-campus criminal offense
2003,236939,Washington State University,380000,1,Pullman Campus,22712,0,0,3,0,0,0,0,0,1,6,24,1,0,Off-campus criminal offense
2003,237011,Western Washington University,380200,1,Bellingham Campus,13845,0,0,0,0,0,0,0,0,0,0,1,0,0,Off-campus criminal offense
2003,237057,Whitman College,380300,1,Whitman College,1454,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2004,235316,Gonzaga University,377800,1,Main Campus,5858,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2004,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39199,0,0,2,0,0,0,0,0,0,2,40,2,1,Off-campus criminal offense
2004,236939,Washington State University,380000,1,Pullman Campus,23241,0,0,1,0,0,2,0,0,1,1,0,0,1,Off-campus criminal offense
2004,237011,Western Washington University,380200,1,Bellingham Campus,14190,0,0,0,0,0,0,0,0,0,0,0,10,0,Off-campus criminal offense
2004,237057,Whitman College,380300,1,Whitman College,1481,0,0,1,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2005,235316,Gonzaga University,377800,1,Main Campus,6377,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,0,2,0,0,0,0,0,2,2,98,3,2,Off-campus criminal offense
2005,236939,Washington State University,380000,1,Pullman Campus,23544,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,0,0,0,0,0,0,0,0,0,0,0,16,0,Off-campus criminal offense
2005,237057,Whitman College,380300,1,Whitman College,1512,0,0,3,0,0,0,0,0,0,2,3,0,0,Off-campus criminal offense
2006,235316,Gonzaga University,377800,1,Main Campus,6607,0,0,0,0,0,0,0,0,0,0,2,0,0,Off-campus criminal offense
2006,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39524,0,0,1,0,0,0,0,0,1,5,57,3,2,Off-campus criminal offense
2006,236939,Washington State University,380000,1,Pullman Campus,23655,0,0,2,0,0,0,0,0,0,0,17,0,0,Off-campus criminal offense
2006,237011,Western Washington University,380200,1,Bellingham Campus,14035,0,0,1,0,0,0,0,0,5,0,2,19,0,Off-campus criminal offense
2006,237057,Whitman College,380300,1,Whitman College,1455,0,0,3,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2007,235316,Gonzaga University,377800,1,Main Campus,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,Off-campus criminal offense
2007,236948,University of Washington-Seattle Campus,379800,1,Main Campus,40218,0,0,8,0,0,0,0,0,3,0,64,43,2,Off-campus criminal offense
2007,236939,Washington State University,380000,1,Pullman Campus,24396,0,0,5,0,0,0,0,0,0,0,16,0,0,Off-campus criminal offense
2007,237011,Western Washington University,380200,1,Bellingham Campus,14276,0,0,1,0,0,0,0,0,1,3,2,13,0,Off-campus criminal offense
2007,237057,Whitman College,380300,1,Whitman College,1489,0,0,0,0,0,0,0,0,0,1,2,0,0,Off-campus criminal offense
